用例编号,模块,章节,用例标题,优先级,页面路由,前置条件,操作步骤,期望结果,实际结果,执行人 / 日期 / 备注,,,,,
PRJ-007,科研项目与抽取,9. 科研项目与抽取（PRJ）,准确率（抽样，排除非 prompt 问题）,P1,同上,同 PRJ-006,对已抽取字段核对内容正确性；错误归因标注,非 OCR/文档质量问题计入备注，不记为单纯 prompt 缺陷,,,,,,,
PRJ-008,科研项目与抽取,9. 科研项目与抽取（PRJ）,覆盖率,P1,项目统计或字段视图,已知总字段数,统计有值字段占比,与预期策略一致；未覆盖字段可解释,,,,,,,
PRJ-009,科研项目与抽取,9. 科研项目与抽取（PRJ）,溯源：字段对应源文档,P0,/research/research/research/projects/:projectId/patient/pool/:patientId,完成抽取,点击字段溯源；核对来源文档是否为真实出处,每个可溯源字段能定位到文档（或产品定义的 N/A 例外）,,,,,,,
PRJ-010,科研项目与抽取,9. 科研项目与抽取（PRJ）,定位信息完整率（目标约 99%）,P1,溯源面板,随机抽样 N 个带值字段（建议 N≥20）,检查是否有页码/坐标/高亮等定位信息,备注填写「定位完整 __/N」；未定位字段记录字段名与原因,,,,,,,
PRJ-011,科研项目与抽取,9. 科研项目与抽取（PRJ）,历史记录信息完整,P0,字段历史/时间轴,多次抽取或手工修改过,打开历史列表,时间、操作来源、值变化可追溯,,,,,,,
PRJ-012,科研项目与抽取,9. 科研项目与抽取（PRJ）,切换当前值为历史中的某一版,P0,同上,历史 ≥2 条,选择某一历史版本设为当前,当前展示值更新；保存策略符合产品,,,,,,,
PRJ-013,科研项目与抽取,9. 科研项目与抽取（PRJ）,手工修改并保存,P0,项目表单编辑；项目患者详情为 /research/projects/:projectId/patients/:patientId,字段可编辑,修改值 → 保存 → 刷新,持久化成功,,,,,,,
PRJ-014,科研项目与抽取,9. 科研项目与抽取（PRJ）,右下角（或侧栏）溯源信息齐全,P0,项目患者详情；患者详情可通过 /patient/detail/:patientId；项目患者详情为 /research/projects/:projectId/patients/:patientId,选中某字段,查看固定区域溯源信息（文档名、页、片段等）,与字段值对应；无空白占位，准确溯源框定位,,,,,,,
PRJ-015,科研项目与抽取,9. 科研项目与抽取（PRJ）,多次抽取值切换,P0,同上,对同字段执行过至少 2 次抽取,在多次抽取结果间切换展示,UI 状态正确；当前选中版本明确,,,,,,,
PRJ-016,科研项目与抽取,9. 科研项目与抽取（PRJ）,切换后手动保存,P0,同上,完成 PRJ-015,选定某次抽取结果后点击保存（若有独立保存）,当前值更新为所选版本,,,,,,,
PRJ-017,科研项目与抽取,9. 科研项目与抽取（PRJ）,历史记录展示多次抽取与手动保存,P0,历史记录，候选值,完成抽取、切换、手工修改,打开历史,各次操作均有记录；可区分自动抽取与手动,,,,,,,
PRJ-018,科研项目与抽取,11. 文档管理 / 文件列表（FIL）,抽取结果导出 CSV,P0,项目导出入口,有已抽取数据,点击导出 CSV；下载并打开,文件可打开；编码正常（UTF-8 等）,,,,,,,
PRJ-019,科研项目与抽取,11. 文档管理 / 文件列表（FIL）,导出 CSV 字段完整性,P1,同上,已知应导出字段集,核对表头与样例行,字段齐全；顺序合理；无大量空列异常,,,,,,,
TGT-001,靶向抽取,10. 靶向抽取（TGT）,上传后自动绑定患者,P1,上传流程 + 项目上下文,开启靶向/自动绑定相关配置（以环境为准）,在项目或指定入口上传文档,文档自动关联到正确患者,,,,,,,
TGT-002,靶向抽取,10. 靶向抽取（TGT）,自动抽取指定表单,P1,项目内；项目患者详情为 /research/projects/:projectId/patients/:patientId,已配置靶向表单,上传后观察是否自动触发对应表单抽取,目标表单进入抽取完成态,,,,,,,
TGT-003,靶向抽取,10. 靶向抽取（TGT）,未覆盖字段被新抽取覆盖,P0,项目患者详情；患者详情可通过 /patient/detail/:patientId；项目患者详情为 /research/projects/:projectId/patients/:patientId,首次抽取后存在空字段,触发靶向抽取或自动二轮,原先空字段在有新证据时被填充；已有手工值策略符合产品（覆盖或保护）,,,,,,,
TGT-004,靶向抽取,10. 靶向抽取（TGT）,靶向重新抽取,P1,项目内；项目患者详情为 /research/projects/:projectId/patients/:patientId,已有靶向结果,执行重新抽取,任务可重复执行；历史可追溯,,,,,,,
DSH-001,仪表板,12. 仪表板（DSH）,统计数量正确,P0,/dashboard,已知后台大致文档数/患者数（或通过 API 对账）,对比卡片数字与实际情况,一致或在产品定义的延迟容忍内,,,,,,,
DSH-002,仪表板,12. 仪表板（DSH）,跳转：文档上传,P0,/dashboard,卡片/快捷入口存在,点击跳转,到达 /document/upload 或等价页,,,,,,,
DSH-003,仪表板,12. 仪表板（DSH）,跳转：患者池 / 科研等,P1,/dashboard,各入口展示,逐个点击验证,路由与面包屑标题正确,,,,,,,
DSH-004,仪表板,12. 仪表板（DSH）,刷新后数据一致,P2,/dashboard,—,F5 刷新,数据重新加载且无错乱,,,,,,,
USR-001,用户与账号,13. 用户与账号（USR）,登录,P0,/login,有效账号,输入凭据登录,成功进入系统；Token 有效；失败有提示,,,,,,,
USR-002,用户与账号,13. 用户与账号（USR）,注册,P1,/login 内注册面板,未注册邮箱/手机,完成注册流程,成功或按运营策略关闭时有说明,,,,,,,
USR-003,用户与账号,13. 用户与账号（USR）,消息通知,P1,头部通知铃铛；当前路由未挂载 /user/notifications，需按实际 UI 验证,能触发通知的事件（如任务完成）,查看列表、标记已读,内容与事件一致；已读状态保存,,,,,,,
USR-004,用户与账号,13. 用户与账号（USR）,搜索,P1,患者池/文件列表/项目内搜索与筛选入口；当前无独立全局搜索路由,已知关键词,搜索患者/文档/项目,结果相关；高亮或筛选合理,,,,,,,
ADM-001,管理员与权限,14. 管理员与权限（ADM）,管理员可见所有用户数据,P0,文件列表 / 项目 / 患者池（按产品设计）；文件列表为 /document/file-list,管理员账号；其他用户已创建数据,切换管理员登录查看列表范围,可见跨用户数据或管理视图,,,,,,,
ADM-002,管理员与权限,14. 管理员与权限（ADM）,普通用户数据隔离,P0,同上,普通用户 A、B,A 登录，尝试访问 B 的数据（URL 直链）,无越权；403 或空列表,,,,,,,
ADM-003,管理员与权限,14. 管理员与权限（ADM）,管理端列表字段与操作,P2,管理视图,管理员,核对是否展示用户名、所属等管理字段,满足运维排查需要,,,,,,,
UI-001,通用 UI,15. 通用 UI 与交互（UI）,主要页面布局（大屏）,P1,仪表盘、上传、患者池、科研项目、CRF 设计器,分辨率 1920×1080,目视检查截断、重叠、滚动条异常,无明显错位；关键按钮可见,,,,,,,
UI-002,通用 UI,15. 通用 UI 与交互（UI）,主要页面布局（笔记本常见分辨率）,P1,同上,如 1440×900 或 1366×768,同上,可用性正常；表格可横向滚动但不错乱,,,,,,,
UI-003,通用 UI,15. 通用 UI 与交互（UI）,未实现功能不得裸露无效按钮,P0,全站抽样,对照当前迭代范围,点击菜单、工具栏、空态按钮,未实现功能应隐藏或禁用并 tooltip 说明；无点击无反应的「死按钮」,,,,,,,
UI-004,通用 UI,15. 通用 UI 与交互（UI）,加载与空态,P2,列表类页面,慢网络或空数据,观察 skeleton/spinner/空态文案,无长期白屏；空态有引导,,,,,,,
SMK-001,端到端冒烟,16. 抽取端到端冒烟（SMK）,全链路冒烟,P0,上传 → 处理/归档 → 患者/项目 → 抽取 → 溯源 → 导出,准备 1 份端到端样例,按主流程跑通一遍并记录耗时与卡点,全流程无阻塞性缺陷,,,,,,,
SMK-002,端到端冒烟,16. 抽取端到端冒烟（SMK）,缺陷归因：杜绝非 prompt 问题误判,P1,全流程,SMK-001 中发现问题,归类为 OCR/文档质量/规则配置/前端/后端/prompt,备注准确；便于研发分流,,,,,,,
SMK-003,端到端冒烟,16. 抽取端到端冒烟（SMK）,与 PRJ/FIL 用例交叉复核,P2,—,PRJ-、FIL- 已执行,勾选本表确认无遗漏模块,各模块至少有一条执行记录,,,,,,,
